host_label,ctx_size,model,task_suite,category,config,tasks,quality_mean,quality_delta_vs_q4,wall_mean_sec,speedup_vs_q4_pct,json_valid_mean,tool_use_mean,correctness_mean,safety_mean
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,claim,f16/f16,1,0.9,0.0,9.492640874999779,4.628957544986497,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,quality,f16/f16,1,0.8,0.10000000000000009,7.704412959000365,21.789666682082668,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,reasoning,f16/f16,2,0.75,0.03333333333333344,11.993244499499724,-9.66581221861758,1.0,1.0,0.75,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,retrieval,f16/f16,1,0.9,0.0,9.241830166999534,7.199773196580066,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,safety,f16/f16,1,0.8,0.2666666666666667,9.97677287499937,3.4035948214330114,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,schema,f16/f16,1,0.8666666666666666,0.0,9.477402165999592,5.125455999788091,1.0,1.0,0.3333333333333333,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,tool,f16/f16,1,0.9,0.0,9.849364959000013,6.244206093060555,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,claim,q4_0/q4_0,1,0.9,0.0,9.953378542000792,0.0,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,quality,q4_0/q4_0,1,0.7,0.0,9.85088879199975,0.0,1.0,1.0,0.5,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,reasoning,q4_0/q4_0,2,0.7166666666666666,0.0,10.936174416500307,0.0,1.0,1.0,0.5833333333333333,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,retrieval,q4_0/q4_0,1,0.9,0.0,9.958844374999899,0.0,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,safety,q4_0/q4_0,1,0.5333333333333333,0.0,10.328306583000085,0.0,1.0,1.0,0.6666666666666666,0.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,schema,q4_0/q4_0,1,0.8666666666666666,0.0,9.989404709000155,0.0,1.0,1.0,0.3333333333333333,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,tool,q4_0/q4_0,1,0.9,0.0,10.505340041999261,0.0,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,claim,q8_0/q8_0,1,0.9,0.0,9.73106850000022,2.233513385052913,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,quality,q8_0/q8_0,1,0.8,0.10000000000000009,7.80871287500031,20.730879823330888,1.0,1.0,1.0,1.0
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,reasoning,q8_0/q8_0,2,0.75,0.03333333333333344,11.24181489600005,-2.7947659561701794,1.0,1.0,0.75,1.0
