host_label,ctx_size,model,task_suite,config,repeats,wall_mean_sec,wall_ci95_sec,speedup_vs_q4_pct,quality_mean,quality_ci95,quality_delta_vs_q4,json_valid_mean,plan_valid_mean,tool_use_mean,correctness_mean,rss_max_mb
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,f16/f16,1,79.7289129999981,0.0,3.310269387479574,0.8333333333333334,0.0,0.054166666666666696,1.0,1.0,1.0,0.8541666666666666,8384.046875
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,q4_0/q4_0,1,82.45851187600056,0.0,0.0,0.7791666666666667,0.0,0.0,1.0,1.0,1.0,0.7083333333333334,7920.015625
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,q8_0/q8_0,1,79.87558066800011,0.0,3.132400948351585,0.8291666666666667,0.0,0.050000000000000044,1.0,1.0,1.0,0.8125,8212.90625
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,q8_0/tbq4,1,76.76583083399873,0.0,6.9036912169387215,0.8166666666666667,0.0,0.03749999999999998,1.0,1.0,1.0,0.75,7787.265625
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,tbq4/tbq4,1,78.01873266500024,0.0,5.3842582287645016,0.8291666666666666,0.0,0.04999999999999993,1.0,1.0,1.0,0.8125,7752.09375
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,f16/f16,1,101.57814320699981,0.0,-2.6205143758935177,0.8708333333333333,0.0,0.022916666666666696,1.0,1.0,1.0,0.7708333333333334,7944.875
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,q4_0/q4_0,1,98.984246789998,0.0,0.0,0.8479166666666667,0.0,0.0,1.0,0.875,1.0,0.78125,7826.28125
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/q8_0,1,99.67619054199986,0.0,-0.699044317092061,0.7916666666666666,0.0,-0.05625000000000002,1.0,1.0,1.0,0.5,7919.625
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/tbq4,1,98.84536241600017,0.0,0.1403095729894056,0.7520833333333333,0.0,-0.09583333333333333,1.0,1.0,1.0,0.4895833333333333,7890.296875
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,tbq4/tbq4,1,98.35038241799975,0.0,0.6403689400627864,0.83125,0.0,-0.016666666666666607,1.0,0.875,1.0,0.6979166666666666,7639.46875
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,f16/f16,1,1008.6479425579964,0.0,2.6938348436169477,0.8125,0.0,0.03749999999999998,1.0,1.0,1.0,0.7291666666666667,6818.78125
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,q4_0/q4_0,1,1036.5714658849975,0.0,0.0,0.775,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,7343.765625
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,q8_0/q8_0,1,977.822048060003,0.0,5.667666895966092,0.8125,0.0,0.03749999999999998,1.0,1.0,1.0,0.7291666666666667,7367.75
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,q8_0/tbq4,1,951.9167433130024,0.0,8.16680039515839,0.8291666666666666,0.0,0.054166666666666585,1.0,1.0,1.0,0.8125,7441.328125
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,tbq4/tbq4,1,976.3122044939955,0.0,5.813324346098429,0.8291666666666667,0.0,0.054166666666666696,1.0,1.0,1.0,0.8125,7456.921875
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,f16/f16,1,1617.972934442998,0.0,-16.73235528340337,0.7958333333333332,0.0,-1.1102230246251565e-16,1.0,1.0,1.0,0.6458333333333333,7152.59375
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,q4_0/q4_0,1,1386.053532900005,0.0,0.0,0.7958333333333333,0.0,0.0,1.0,1.0,1.0,0.6458333333333333,7045.171875
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/q8_0,1,1406.3624617479982,0.0,-1.4652340884338984,0.7604166666666665,0.0,-0.03541666666666676,1.0,1.0,1.0,0.46875,6985.84375
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/tbq4,1,1333.212337495992,0.0,3.8123488126360225,0.79375,0.0,-0.002083333333333326,1.0,1.0,1.0,0.6979166666666666,7056.234375
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,tbq4/tbq4,1,1400.7398479500043,0.0,-1.0595777653170138,0.7687499999999999,0.0,-0.027083333333333348,1.0,1.0,1.0,0.59375,7045.15625
