tasks,total_wall_sec,mean_wall_sec,mean_score,mean_quality_total,mean_correctness_score,mean_json_score,mean_tool_use_score,mean_safety_score,mean_ground_truth_score,mean_planner_sec,mean_deterministic_tool_sec,mean_llm_tool_sec,mean_final_sec,total_prompt_eval_ms,total_decode_ms,plan_valid_rate,final_json_valid_rate,total_llm_calls,total_prompt_tokens,total_completion_tokens,completion_tokens_per_sec,job_index,host_label,repeat,ctx_size,model,config,type_k,type_v,server_max_rss_mb,server_max_cpu_pct,server_mean_cpu_pct,server_profile_samples,thermal_max_c,vcgencmd_throttled_last,vcgencmd_throttled_or,rapl_package_joules,rapl_package_watts_avg,battery_power_w_avg,battery_power_w_max,battery_joules,server_version,server_version_major,server_returncode,run_kind,task_suite,task_count,planner_mode,context_fill_ratio,raw_dir
8,424.22997940378264,53.02874742547283,0.7729166666666666,0.7729166666666666,0.53125,1.0,1.0,0.875,0.4583333333333333,21.094528691639425,6.336098886094987e-05,17.98020306773833,13.953440915269312,148576.7,274652.74,1.0,1.0,25,10212,1985,4.6790658283738935,1,x86_i5_12500_agentic_8k,1,8192,qwen35_4b,q8_0/tbq4,q8_0,tbq4,6946.55859375,995.0,976.6080760095011,421,90.0,0,0,27700.252513,65.09053260788714,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0001_ctx8192_r01_qwen35_4b_q8_0_tbq4
8,345.1098361045588,43.13872951306985,0.8,0.8,0.75,1.0,1.0,0.875,0.375,14.47209284134442,6.543449126183987e-05,15.5752490106388,13.090844168822514,167534.098,177395.104,1.0,1.0,24,10895,1683,4.876708293791132,2,x86_i5_12500_agentic_8k,1,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7662.7890625,994.0,963.046511627907,344,90.0,0,0,22626.203552,65.04511536895625,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0002_ctx8192_r01_gemma4_e4b_q4_0_q4_0
8,327.213341955794,40.90166774447425,0.8125,0.8125,0.7291666666666667,1.0,1.0,1.0,0.3333333333333333,13.747766055661486,4.580451059155166e-05,15.010776780982269,12.142593156488147,150796.03999999998,176127.85400000002,1.0,1.0,24,10799,1707,5.216779944842875,3,x86_i5_12500_agentic_8k,1,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,7995.62109375,994.0,962.1595092024539,326,90.0,0,0,21418.03599,64.96653095364202,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0003_ctx8192_r01_gemma4_e4b_q8_0_q8_0
8,342.6294685062021,42.82868356327526,0.8083333333333333,0.8083333333333333,0.7708333333333334,1.0,1.0,1.0,0.2708333333333333,14.838783898303518,6.47392007522285e-05,15.318811164528597,12.670525519817602,154641.997,187723.886,1.0,1.0,24,10864,1761,5.139662994189081,4,x86_i5_12500_agentic_8k,1,8192,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,7818.625,988.0,954.6323529411765,340,90.0,0,0,22339.724426,64.73762513785624,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0004_ctx8192_r01_gemma4_e4b_q8_0_tbq4
8,327.81282082782127,40.97660260347766,0.8125,0.8125,0.7291666666666667,1.0,1.0,1.0,0.3333333333333333,13.702485440502642,4.429963883012533e-05,15.122924485622207,12.15066032676259,150424.522,176863.673,1.0,1.0,24,10805,1706,5.204189377620623,5,x86_i5_12500_agentic_8k,1,8192,gemma4_e4b,f16/f16,f16,f16,8610.58984375,990.0,951.8404907975461,326,90.0,0,0,21436.718132,64.95837401625533,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0005_ctx8192_r01_gemma4_e4b_f16_f16
8,450.0274106413126,56.253426330164075,0.8395833333333332,0.8395833333333332,0.7395833333333333,1.0,1.0,1.0,0.4583333333333333,21.554138107749168,5.9522571973502636e-05,19.642157597729238,15.056563675112557,161583.585,287327.8,1.0,1.0,25,10559,2081,4.624162774961787,6,x86_i5_12500_agentic_8k,1,8192,qwen35_4b,f16/f16,f16,f16,7480.62890625,992.0,966.062639821029,447,90.0,0,0,29316.630759,64.83527417448857,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0006_ctx8192_r01_qwen35_4b_f16_f16
8,331.9681407606695,41.496017595083686,0.8395833333333333,0.8395833333333333,0.8020833333333333,1.0,1.0,1.0,0.3958333333333333,14.05455808894476,4.399876343086362e-05,14.845567066484364,12.59537056850968,152387.58299999998,179401.86599999998,1.0,1.0,24,10982,1754,5.283639556437243,7,x86_i5_12500_agentic_8k,1,8192,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,7647.06640625,994.0,961.7969696969697,330,88.0,0,0,21666.618117,64.85380361013344,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0007_ctx8192_r01_gemma4_e4b_tbq4_tbq4
8,439.83304098108783,54.97913012263598,0.8020833333333333,0.8020833333333333,0.5520833333333333,1.0,1.0,1.0,0.4583333333333333,20.797886062588077,6.104697240516543e-05,20.413715435366612,13.766944339789916,166609.003,272178.924,1.0,1.0,25,10907,1956,4.447142023793763,8,x86_i5_12500_agentic_8k,1,8192,qwen35_4b,tbq4/tbq4,tbq4,tbq4,6978.765625,992.0,971.3432494279176,437,91.0,0,0,28689.602335,64.89979264967107,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0008_ctx8192_r01_qwen35_4b_tbq4_tbq4
8,458.7925002789125,57.34906253486406,0.81875,0.81875,0.6354166666666666,1.0,1.0,1.0,0.4583333333333333,23.08862632155069,5.969434278085828e-05,19.923302059964044,14.336570664658211,165566.76400000002,292214.41500000004,1.0,1.0,25,10430,2076,4.524921394176982,9,x86_i5_12500_agentic_8k,1,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,7029.59375,994.0,978.9098901098901,455,91.0,0,0,29849.053652,64.85555036987479,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0009_ctx8192_r01_qwen35_4b_q4_0_q4_0
8,451.6712454028893,56.458905675361166,0.7999999999999999,0.7999999999999999,0.5416666666666666,1.0,1.0,1.0,0.4583333333333333,20.9860636840167,5.773501470685005e-05,19.809231551887933,15.663046362489695,164731.063,285890.96,1.0,1.0,25,10685,2050,4.538699376736738,10,x86_i5_12500_agentic_8k,1,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,7200.42578125,992.0,969.5379464285714,448,91.0,0,0,29419.144901,64.90094685361146,0.0,0.0,0.0,version: 6 (ef7047a) built with GNU 12.3.0 for Linux x86_64,6,0,agentic_impact,agentic_impact,8,llm,0.0,agent/results/20260506_x86_agentic_impact_8k/raw/0010_ctx8192_r01_qwen35_4b_q8_0_q8_0
